code,type,floor,isin,status,companyName,companyNameEng,shortName,shortNameEng,listedDate,companyId,taxCode,delistedDate,indexCode
DAD,STOCK,HNX,VN000000DAD2,listed,Công ty Cổ phần Đầu tư và Phát triển giáo dục Đà Nẵng ,Da Nang Education Development And Investment Joint Stock Company,ĐTPT Giáo dục ĐN,DaNang Education,2009-08-19,2513,0400568767,,
MBS,STOCK,HNX,VN000000MBS9,listed,Công ty Cổ phần chứng khoán MB,MB Securities Joint Stock Company,Chứng khoán MB,MB Securities,2016-03-28,495,0106393583,,HNX30
SD9,STOCK,HNX,VN000000SD90,listed,Công ty Cổ phần Sông Đà 9,Song Da No 9 Joint Stock Company,CTCP Sông Đà 9,Song Da 9,2006-12-20,1075,0100845515,,
SZB,STOCK,HNX,VN000000SZB1,listed,Công ty cổ phần Sonadezi Long Bình,Sonadezi Long Binh Shareholding Company,Sonadezi Long Bình,Sonadezi Long Binh,2019-12-20,8632,3601867699,,
VMC,STOCK,HNX,VN000000VMC1,listed,Công ty Cổ phần VIMECO,Vimeco Joint Stock Company,CTCP VIMECO,VIMECO,2006-12-11,1229,0101338571,,
MST,STOCK,HNX,VN000000MST1,listed,Công ty cổ phần đầu tư MST,MST Investment Joint Stock Company,Đầu tư MST,MST Investment,2016-05-10,4636,0103983390,,
FDT,STOCK,HNX,VN000000FDT7,delisted,Công ty Cổ phần Fiditour ,Fiditour Joint Stock Company,CTCP Fiditour,,2011-09-12,3208,0302044758,2020-06-15,
KSQ,STOCK,HNX,VN000000KSQ1,listed,Công ty cổ phần CNC Capital Việt Nam,CNC Capital Viet Nam Joint-Stock Company,CNC Capital VN,CNC Capital Viet Nam,2013-07-26,3723,0101971512,,
NFC,STOCK,HNX,VN000000NFC2,listed,Công ty Cổ phần Phân lân Ninh Bình ,Ninh Binh Phosphate Fertilizer Joint Stock Company,Phân lân Ninh Bình,Ninh Binh Fertilizer,2014-03-03,3878,2700224471,,
DP3,STOCK,HNX,VN000000DP36,listed,Công ty Cổ phần Dược phẩm Trung ương 3,Central Pharmaceutical Joint Stock Company No 3,Dược phẩm TW 3,FORIPHARM,2015-07-17,3893,0200572501,,
CX8,STOCK,HNX,VN000000CX86,listed,Công ty Cổ phần Đầu tư và Xây lắp Contrexim số 8 ,Constrexim No 8 Investment And Construction Join Stock Company,X.lắp Contrexim 8,Constrexim 8,2010-05-19,2787,0101850677,,
BPC,STOCK,HNX,VN000000BPC6,listed,Công ty Cổ phần Vicem Bao bì Bỉm sơn,Vicem Packaging Bimson Joint Stock Company,Bao bì Bỉm sơn,VICEM BPC,2009-06-08,242,2800508928,,
LAS,STOCK,HNX,VN000000LAS3,listed,Công ty Cổ phần Supe Phốt phát và Hóa chất Lâm Thao,Lam Thao Fertilizers and Chemicals Joint Stock Company,Supe Phốt phát LT,Lam Thao Fertilizers,2012-03-01,2942,2600108471,,HNX30
TNG122017,BOND,HNX,VNTNG1220171,listed,Công ty Cổ phần Đầu tư và Thương mại TNG,TNG Investment And Trading Joint Stock Company,Đầu tư và Thương mại TNG,TNG JSC,2022-08-19,2098,4600305723,,
KMF,STOCK,HNX,,delisted,Công ty Cổ phần Mirae Fiber,Mirae Fiber Joint Stock Fiber,,,2007-12-14,2167,0900233092,2009-12-22,
SDS,STOCK,HNX,,delisted,Công ty Cổ phần Xây lắp và Đầu tư Sông Đà,SongDa Construction and Investment Joint Stock Company,,SODACO,2008-07-23,2364,0101528854,2012-09-13,
VCC,STOCK,HNX,VN000000VCC2,listed,Công ty Cổ phần Vinaconex 25,Vinaconex 25 Joint Stock Company,CTCP Vinaconex 25,Vinaconex 25,2009-02-05,839,4000378261,,
TCS,STOCK,HNX,VN000000TCS2,delisted,Công ty Cổ phần Than Cao Sơn - Vinacomin ,Vinacomin - Cao Son Coal Joint Stock Company,Than Cao Sơn,,2008-11-21,989,5700101098,2020-08-03,
NAG,STOCK,HNX,VN000000NAG4,listed,Công ty Cổ phần Tập đoàn Nagakawa,Nagakawa Group Joint Stock Company,Nagakawa Group,NAGAKAWA Group,2009-09-22,2527,2500217389,,
S55,STOCK,HNX,VN000000S552,listed,Công ty Cổ phần Sông Đà 505,Song Da 505 Joint Stock Company,CTCP Sông Đà 505,Song Da 55,2006-12-22,1268,5900320629,,
S91,STOCK,HNX,,delisted,Công ty Cổ phần Sông Đà 9.01,Song Da 9.01 Joint Stock Company,,,2006-12-20,1270,5900320611,2014-01-06,
VC3,STOCK,HNX,VN000000VC39,listed,CÔNG TY CỔ PHẦN TẬP ĐOÀN NAM MÊ KÔNG,NAM MEKONG GROUP JOINT STOCK COMPANY,TẬP ĐOÀN NAM MÊ KÔNG,Nam MeKong Group,2007-12-13,2155,0101311837,,HNX30
VC6,STOCK,HNX,VN000000VC62,listed,Công ty cổ phần Xây dựng và Đầu tư Visicons,Visicons Construction and Investment Joint Stock Company,Xây dựng Visicons,Visicons,2008-01-28,2232,0100105503,,
VNF,STOCK,HNX,VN000000VNF2,listed,Công ty cổ phần VINAFREIGHT,Vinafreight,VINAFREIGHT,VINAFREIGHT,2010-12-01,2517,0302511219,,
TKG,STOCK,HNX,VN000000TKG0,listed,Công ty cổ phần Sản xuất và Thương mại Tùng Khánh,Tung Khanh trading and manufacturing joint stock company,Sản xuất và thương mại Tùng Khánh,Tung Khanh Tramaco,2022-08-29,10953,0200383737,,
GLH121019,BOND,HNX,VNGLH1210197,delisted,Công ty Cổ phần GlexHomes,GlexHomes Joint Stock Company,,,2021-07-29,13715,0103574486,2024-05-06,
GLH121026,BOND,HNX,VNGLH1210262,listed,Công ty Cổ phần GlexHomes,GlexHomes Joint Stock Company,,,2021-11-25,13715,0103574486,,
PCH,STOCK,HNX,VN000000PCH3,listed,PICOMAT,Picomat Plastic Joint Stock Company,Nhựa Picomat,Picomat Plastic,2022-07-28,14378,0104518043 ,,
GB05F2209,DERIVATIVE,HNX,VNGB05F22092,delisted,Hợp đồng tương lai TPCP kỳ hạn 05 năm tháng 09/2022,,,,2021-12-16,600,,2022-09-15,
EBS,STOCK,HNX,VN000000EBS6,listed,Công ty Cổ phần Sách Giáo Dục tại TP Hà Nội,Educational Book Joint Stock Company In Hanoi city,Sách Giáo Dục HN,Hanoi Edu Book,2006-12-21,1259,0101493714,,
SD5,STOCK,HNX,VN000000SD58,listed,Công ty Cổ phần Sông Đà 5,Song Da 5 Joint Stock Company,CTCP Sông Đà 5,Song Da 5 JSC,2006-12-27,1294,0100886857,,
PVG,STOCK,HNX,VN000000PVG5,listed,CÔNG TY CỔ PHẦN KINH DOANH LPG VIỆT NAM,PETRO VIETNAM LPG JOINT STOCK COMPANY,Kinh doanh LPG,Petro Vietnam LPG,2009-01-07,1457,0102311149,,HNX30
LHC,STOCK,HNX,VN000000LHC2,listed,Công ty Cổ phần Đầu tư và Xây dựng Thủy lợi Lâm Đồng,Lam Dong Investment Hydraulic Construction Joint Stock Company,Th.lợi Lâm Đồng,Lam Dong Construction,2010-01-13,1507,5800000424,,HNX30
VN30F2212,DERIVATIVE,HNX,VNVN30F22128,delisted,Hợp đồng tương lai chỉ số VN30 tháng 12/2022,,,,2022-04-22,686,,2022-12-15,
VN30F2207,DERIVATIVE,HNX,VNVN30F22078,delisted,Hợp đồng tương lai chỉ số VN30 tháng 07/2022,,,,2022-05-20,727,,2022-07-21,
X20,STOCK,HNX,VN000000X206,listed,Công ty cổ phần X20,X20 Joint Stock Company,CTCP X20,Gatexco 20,2018-02-05,2308,0100109339,,
TV4,STOCK,HNX,VN000000TV48,listed,Công ty Cổ phần Tư vấn xây dựng điện 4,Power Engineering Consulting Joint Stock Company 4,Xây dựng điện 4,PECC4,2008-07-22,2363,4200385474,,
SSM,STOCK,HNX,VN000000SSM3,listed,Công ty Cổ phần Chế tạo kết cấu thép VNECO.SSM,Steel Structure Manufacture Joint Stock Company,C.tạo kết cấu thép,VNECO Steel Structure,2008-11-17,2394,0400474004,,
GB05F2303,DERIVATIVE,HNX,VNGB05F23033,delisted,Hợp đồng tương lai TPCP kỳ hạn 05 năm  tháng 03/2023,,,,2022-06-16,749,,2023-03-15,
VN30F2208,DERIVATIVE,HNX,VNVN30F22086,delisted,Hợp đồng tương lai chỉ số VN30 tháng 08/2022,,,,2022-06-17,750,,2022-08-18,
VN30F2303,DERIVATIVE,HNX,VNVN30F22035,delisted,Hợp đồng tương lai chỉ số VN30 tháng 03/2023,,,,2022-07-22,787,,2023-03-16,
ICG,STOCK,HNX,VN000000ICG0,listed,Công ty Cổ phần Xây dựng sông Hồng ,Song Hong Construction Joint Stock Company,Xây dựng sông Hồng,Song Hong Construction,2009-04-21,2455,0100107042,,
ECI,STOCK,HNX,VN000000ECI5,listed,Công ty Cổ phần Tập đoàn ECI,ECI Group Joint Stock Company,Tranh ảnh Giáo dục,"ECICO., JSC",2009-06-16,2463,0102137109,,
V12,STOCK,HNX,VN000000V127,listed,CTCP Xây dựng số 12,Viet Nam Construction joint stock Company No12,Xây dựng số 12,Vinaconex 12,2010-01-05,2590,0101446753,,
DNC,STOCK,HNX,VN000000DNC7,listed,Công ty Cổ phần Điện nước lắp máy Hải Phòng,Hai Phong Electricity Water Machine Assembly Joint Stock,Điện nước lắp máy Hải Phòng,Haiphong electricity water machines,2009-12-23,2626,0200155561,,
CPC,STOCK,HNX,VN000000CPC4,listed,Công ty Cổ phần Thuốc sát trùng Cần Thơ,Can Tho Pesticides Joint Stock Company,Sát trùng Cần Thơ,Cantho pesticides,2010-01-18,2671,1800457478,,
TSB,STOCK,HNX,VN000000TSB4,listed,Công ty Cổ phần Ắc quy Tia sáng,Tiasang Battery Joint stock compayny,Ắc quy Tia sáng,Tia Sang Battery,2011-01-19,3088,0200168458,,
GB10F2312,DERIVATIVE,HNX,VNGB10F23124,delisted,Hợp đồng tương lai TPCP kỳ hạn 10 năm tháng 12/2023,,,,2023-03-27,951,,2023-12-25,
SVN,STOCK,HNX,VN000000SVN5,listed,Công ty cổ phần Tập đoàn Vexilla Việt Nam,Vexilla Viet Nam Group Joint Stock Company,Tập đoàn Vexilla VN,Vexilla Viet Nam Group,2011-07-26,3228,0101612880,,
VN30F2310,DERIVATIVE,HNX,VNVN30F23100,delisted,Hợp đồng tương lai chỉ số VN30 tháng 10/2023,,,,2023-08-18,1064,,2023-10-19,
CEO,STOCK,HNX,VN000000CEO3,listed,Công ty Cổ phần Tập Đoàn C.E.O,C.E.O Group Joint Stock Company,Tập đoàn C.E.O,CEO Group,2014-09-29,4136,0101183550,,HNX30
ATS,STOCK,HNX,VN000000ATS6,listed,Công ty cổ phần tập đoàn đầu tư ATS,ATS INVESTMENT GROUP JOINT STOCK COMPANY,Đầu tư ATS,ATS JSC,2016-03-29,4573,0100830798,,
KDM,STOCK,HNX,VN000000KDM2,listed,CÔNG TY CỔ PHẦN TỔNG CÔNG TY PHÁT TRIỂN KHU ĐÔ THỊ DÂN CƯ MỚI,NEW RESIDENTIAL URBAN AREA DEVELOPMENT JOINT STOCK COMPANY,TỔNG CÔNG TY KHU DÂN MỚI,Urban Developement,2016-03-29,4575,0700324666,,
VIF,STOCK,HNX,VN000000VIF2,listed,Tổng công ty Lâm nghiệp Việt Nam - Công ty cổ phần,Viet Nam Forestry Corporation Joint Stock Company,TCT L.nghiệp VN,VietNam Forestry,2020-02-03,4594,0100102012,,
AAV,STOCK,HNX,VN000000AAV0,listed,Công ty Cổ phần AAV Group,AAV Group Joint Stock Company,AAV GROUP,Viet Tien Son Real Estate,2018-06-25,5406,0800819038,,
TDT,STOCK,HNX,VN000000TDT8,listed,Công ty Cổ phần Đầu tư và Phát triển TDT,TDT Investment and Development Joint Stock Company,Đ.tư P.triển TDT,TDT Investment & Develop,2018-07-18,5835,4600941221,,
DDG,STOCK,HNX,VN000000DDG9,listed,Công ty cổ phần Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,Indochine Import Export Industrial Investment Joint Stock Company,XNK Đông Dương,Indochine JSC,2018-12-18,5992,0310103090,,
VTZ,STOCK,HNX,VN000000VTZ7,listed,Công ty Cổ phần Sản xuất và Thương mại Nhựa Việt Thành,VIET THANH PLASTIC TRADING AND MANUFACTURING JOINT STOCK COMPANY,Nhựa Việt Thành,Viet Thanh Plastic,2021-11-25,13280,0310710930,,
HBB,STOCK,HNX,,delisted,Ngân hàng Thương mại Cổ phần Nhà Hà Nội,Hanoi Building Joint Stock Bank,,,2010-11-23,154,,2012-08-16,
CII42013,BOND,HNX,VN0CII420136,listed,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh ,Ho Chi Minh City Infrastructure Investment Joint Stock Company,H.tầng KT HCM,Ho Chi Minh Infrastructure,2022-08-12,198,0302483177,,
VNR,STOCK,HNX,VN000000VNR7,listed,Tổng Công ty Cổ phần tái bảo hiểm quốc gia Việt Nam,Vietnam National Reinsurance Cooporation,Tái bảo hiểm VN,Vietnam Reinsurance,2006-03-13,399,0100110447,,
PTI,STOCK,HNX,VN000000PTI5,listed,Tổng Công ty Cổ phần bảo hiểm bưu điện,Post & Telecommunication Joint Stock Insurance Corporation,Bảo hiểm bưu điện,Post & Telecom Insurance,2011-03-02,425,0100774631,,
CTG121030,BOND,HNX,VNCTG1210308,listed,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,Vietnam Joint Stock Commercial Bank For Industrial And Trade,Vietinbank,VietinBank,2022-01-10,445,0100111948,,
CTG123018,BOND,HNX,VNCTG1230181,listed,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,Vietnam Joint Stock Commercial Bank For Industrial And Trade,Vietinbank,VietinBank,2023-10-30,445,0100111948,,
CTG123019,BOND,HNX,VNCTG1230199,listed,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,Vietnam Joint Stock Commercial Bank For Industrial And Trade,Vietinbank,VietinBank,2023-10-30,445,0100111948,,
CTG123033,BOND,HNX,VNCTG1230330,listed,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,Vietnam Joint Stock Commercial Bank For Industrial And Trade,Vietinbank,VietinBank,2024-01-12,445,0100111948,,
BID121027,BOND,HNX,VNBID1210276,listed,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam ,Bank for Investment and development of Vietnam,Ngân hàng BIDV,BIDV,2022-05-20,446,0100150619,,
BID123003,BOND,HNX,VNBID1230035,listed,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam ,Bank for Investment and development of Vietnam,Ngân hàng BIDV,BIDV,2023-08-10,446,0100150619,,
PLC,STOCK,HNX,VN000000PLC5,listed,Tổng Công ty Hóa dầu Petrolimex - CTCP,Petrolimex Petrochemical Corporation - JSC,Hóa dầu Petrolimex,Petrolimex Petrochemical,2006-12-27,1293,0108242540/0101463614,,HNX30
HLC,STOCK,HNX,VN000000HLC2,listed,Công ty Cổ phần Than Hà Lầm - Vinacomin,Vinacomin - Ha Lam coal Joint stock company,Than Hà Lầm,Ha Lam - Vinacomin Coal,2009-03-05,2121,5700101637,,
DTC,STOCK,HNX,VN000000DTC4,listed,Công ty Cổ phần Viglacera Đông Triều,Dong Trieu Viglacera Joint Stock Company,Viglacera Đông Triều,Dong Trieu Viglacera,2021-11-16,1258,5700486105,,
EID,STOCK,HNX,VN000000EID3,listed,Công ty Cổ phần Đầu tư và Phát triển giáo dục Hà Nội,Ha Noi Education Investment and Development Joint Sctock Company,ĐTPT giáo dục HN,Hanoi Edu Invest & Develop,2009-08-11,2504,0102222393,,
MVB,STOCK,HNX,VN000000MVB3,listed,Tổng công ty Công nghiệp mỏ Việt Bắc TKV_CTCP,Vinacomin- VietBac Mining Industry Holding Corporation,Mỏ Việt Bắc TKV,VVMI,2020-10-28,4661,0100100015,,
VJC11912,BOND,HNX,VN0VJC119128,delisted,Công ty cổ phần Hàng không VIETJET,VIETJET Aviation Joint Stock Company,VIETJETAIR,Vietjet Air,2021-12-31,4734,0102325399,2022-07-14,
MSN12001,BOND,HNX,VN0MSN120016,delisted,Công ty Cổ phần Tập đoàn Masan,Masan Group Corporation,MASAN Group,Masan Group,2021-12-31,2565,0303576603,2023-03-15,
MSN120007,BOND,HNX,VNMSN1200074,delisted,Công ty Cổ phần Tập đoàn Masan,Masan Group Corporation,MASAN Group,Masan Group,2021-12-24,2565,0303576603,2023-10-20,
MSN120009,BOND,HNX,VNMSN1200090,delisted,Công ty Cổ phần Tập đoàn Masan,Masan Group Corporation,MASAN Group,Masan Group,2021-12-24,2565,0303576603,2023-10-20,
MSN12003,BOND,HNX,VN0MSN120032,delisted,Công ty Cổ phần Tập đoàn Masan,Masan Group Corporation,MASAN Group,Masan Group,2021-12-31,2565,0303576603,2023-04-24,
MSN123009,BOND,HNX,VNMSN1230097,listed,Công ty Cổ phần Tập đoàn Masan,Masan Group Corporation,MASAN Group,Masan Group,2023-05-25,2565,0303576603,,
MSN123014,BOND,HNX,VNMSN1230147,listed,Công ty Cổ phần Tập đoàn Masan,Masan Group Corporation,MASAN Group,Masan Group,2023-08-18,2565,0303576603,,
TLC,STOCK,HNX,,delisted,Công ty Cổ phần Viễn thông Thăng Long ,Thang Long Telecommunications Joint Stock Company,,,2006-12-28,1339,0500447117,2013-05-16,
VNG122002,BOND,HNX,VNVNG1220029,listed,Công ty Cổ phần Du lịch Thành Thành Công,Thanh Thanh Cong Tourist Joint Stock Company,D.lịch T.Thành Công,Thanh Thanh Cong Tourism,2022-05-25,2621,3500753423,,
VTH,STOCK,HNX,VN000000VTH5,listed,Công ty Cổ phần tập đoàn Việt Thái,VIETTHAI GROUP JOINT STOCK COMPANY,Cáp Điện Việt Thái,Viet Thai Electric Cable,2014-10-29,4099,3600751476,,
DHT,STOCK,HNX,VN000000DHT3,listed,Công ty Cổ phần Dược phẩm Hà Tây ,Ha Tay Pharmaceutical Joint Stock Company,Dược phẩm Hà Tây,Ha Tay Pharmac,2008-12-03,2406,0500391400,,HNX30
ARM,STOCK,HNX,VN000000ARM3,listed,Công ty Cổ phần Xuất nhập khẩu Hàng không,General Aviation Import Export Joint Stock Company,XNK Hàng không,General Aviation Import Export,2010-10-26,3021,0100107934,,
BCF,STOCK,HNX,VN000000BCF7,listed,Công ty Cổ phần Thực phẩm Bích Chi,Bich Chi Food Company,Thực phẩm Bích Chi,Bich Chi Food,2020-03-16,5258,1400371184,,
HMH,STOCK,HNX,VN000000HMH9,listed,Công ty Cổ phần Hải Minh ,HAI MINH Corporation,CTCP Hải Minh,Hai Minh Corp,2010-07-28,2641,0302525162,,
CTV,STOCK,HNX,,delisted,Công ty Cổ phần Đầu tư - Sản xuất và Thương mại Việt Nam ,Viet Nam Investment - Production And Trading.JSC,,,2011-09-09,3247,0102722910,2013-12-19,
TC6,STOCK,HNX,VN000000TC66,delisted,Công ty Cổ phần Than Cọc Sáu - VINACOMIN ,Vinacomin - Coc Sau Coal Joint Stock Company,Than Cọc Sáu,Vinacomin Coc Sau,2008-06-26,999,5700101002,2024-06-24,
PPS,STOCK,HNX,VN000000PPS2,listed,Công ty Cổ phần Dịch vụ kỹ thuật Điện lực Dầu khí Việt Nam ,PetroVietnam Power Services JSC,KT Đ.lực DK VN,"PV Power Services.,JSC",2011-01-07,3087,0102560459,,
PMB,STOCK,HNX,VN000000PMB5,listed,Công ty Cổ phần Phân bón và Hóa chất Dầu khí miền Bắc ,North PetroVietnam Fertilizer & Chemicals Joint Stock Company,H.chất DK M.Bắc,PVFCCo North,2015-10-07,4446,0102886450,,
TPH,STOCK,HNX,VN000000TPH7,listed,Công ty Cổ phần In Sách Giáo Khoa tại TP Hà Nội,Ha Noi Textbooks Printing Joint - Stock Company,Sách giáo khoa HN,"HAPCO .,JSC",2006-12-15,1227,0101493707,,
L14,STOCK,HNX,VN000000L144,listed,Công ty Cổ phần Licogi 14,Licogi 14 Joint Stock Company,CTCP Licogi 14,Licogi 14,2011-09-13,3220,2600106234,,HNX30
TMC,STOCK,HNX,VN000000TMC5,listed,Công ty Cổ phần Thương mại Xuất nhập khẩu Thủ Đức,THUDUC TRADING OIL AND GAS PETROLEUM JOINT STOCK COMPANY.,T.mại XNK Thủ Đức,TIMEXCO,2009-06-08,1289,0301444626,,
SSB12217,BOND,HNX,VN0SSB122176,listed,Ngân hàng Thương mại Cổ phần Đông Nam Á,SOUTHEAST ASIA COMMERCIAL JOINT STOCK BANK,Ngân hàng TMCP Đông Nam Á,SeABank,2023-11-07,731,0200253985,,
HDA,STOCK,HNX,VN000000HDA3,listed,Công ty Cổ phần Hãng sơn Đông Á,Dong A Paint Joint Stock Company,Hãng sơn Đông Á,Dong A Paint,2010-12-27,3076,0102073938,,
THD,STOCK,HNX,VN000000THD3,listed,CÔNG TY CỔ PHẦN THAIHOLDINGS,THAIHOLDINGS JOINT STOCK COMPANY,THAIHOLDINGS,Thaiholdings,2020-06-19,10564,0105202998,,
NBP,STOCK,HNX,VN000000NBP3,listed,Công ty Cổ phần Nhiệt điện Ninh Bình,Ninh Binh Thermal Power Joint Stock Company,Nh.điện Ninh Bình,Ninh Binh Thermal Power,2009-08-06,1520,2700283389,,
TNG119007,BOND,HNX,VNTNG1190077,delisted,Công ty Cổ phần Đầu tư và Thương mại TNG,TNG Investment And Trading Joint Stock Company,Đầu tư và Thương mại TNG,TNG JSC,2021-03-26,2098,4600305723,2022-10-24,
VTC,STOCK,HNX,VN000000VTC6,listed,Công ty Cổ phần viễn thông VTC,VTC Telecommunications Joint Stock Company,Viễn thông VTC,VTC Telecom,2009-06-08,734,0301888195,,
TBX,STOCK,HNX,VN000000TBX4,listed,Công ty Cổ phần Xi măng Thái Bình,Thai Binh Cement Joint Stock Company,Xi măng Thái Bình,Thai Binh Cement,2008-11-18,2391,1000283494,,
MCO,STOCK,HNX,VN000000MCO6,listed,Công ty Cổ phần MCO Việt Nam,BDC Vietnam Join Stock Company,CTCP MCO Việt Nam,BDC Vietnam,2006-12-21,1263,0101413483,,
CIC,STOCK,HNX,,delisted,Công ty Cổ phần Đầu tư và Xây dựng COTEC ,Cotec Investment Land - House Development Joint Stock Company,,,2006-12-29,1332,0303580769,2013-09-20,
SFN,STOCK,HNX,VN000000SFN8,listed,Công ty Cổ phần Dệt lưới Sài Gòn ,Saigon Fishing Net Joint Stock Company,Dệt lưới Sài Gòn,Saigon Fishing Net,2009-06-12,1352,0300669828,,
BVB123025,BOND,HNX,VNBVB1230255,listed,Ngân hàng TMCP Bản Việt,Viet Capital Commercial Joint Stock Bank,Ngân hàng Bản Việt,Viet Capital Bank,2024-01-15,3592,0301378892,,
C69,STOCK,HNX,VN000000C697,listed,Công ty cổ phần Xây dựng 1369,1369 CONSTRUCTION JOINT STOCK COMPANY,CTCP Xây dựng 1369,1369 Construction,2017-04-21,5254,0800282385,,
MGR,STOCK,UPCOM,VN000000MGR0,listed,CTCP Tập đoàn Mgroup,MGROUP GROUP CORPORATION,MGROUP,MGROUP CORP,2022-04-28,14233,0312267721,,
GCF,STOCK,UPCOM,VN000000GCF6,listed,Công ty cổ phần Thực phẩm G.C,G.C Food Joint Stock Company,GC Food,,2022-12-20,14423,3602503768,,
THM,STOCK,UPCOM,VN000000THM4,listed,Công ty Cổ phần Tứ Hải Hà Nam,Tu Hai Ha Nam JSC,Công ty Tứ Hải Hà Nam,THM JSC,2023-10-18,14552,0700519785,,
VMK,STOCK,UPCOM,VN000000VMK4,listed,Công ty cổ phần Vimarko,VIMARKO JOINT STOCK COMPANY,Công ty Vimarko ,VIMARKO COMPANY ,2024-01-12,15038,0108720772,,
THN,STOCK,UPCOM,VN000000THN2,listed,Công ty cổ phần Cấp nước Thanh Hóa,Thanh Hoa Water Supply Joint Stock Company,Cấp nc Thanh Hóa,Thanh Hoa Water Supply,2017-10-05,5356,2800219549,,
LBC,STOCK,UPCOM,VN000000LBC5,listed,Công ty cổ phần Thương mại - Đầu tư Long Biên,Long Bien Joint Stock Company,Đầu tư Long Biên,Long Bien JSC,2017-08-16,5486,0100596869,,
BTN,STOCK,UPCOM,VN000000BTN5,listed,Công ty Cổ Phần Đầu Tư BITCO Bình Định ,Binh Dinh Bitco Investment Joint Stock Company ,Gạch Tuy Nen,Binh Dinh Tunnel Brick,2018-01-05,5577,4100431180,,
WTN,STOCK,UPCOM,VN000000WTN1,delisted,Công ty cổ phần Cấp thoát nước Tây Ninh,Tay Ninh Water Supply Sewerage Joint Stock Company,C.thoát nc T.Ninh,TAYNINH WASSCO,2017-11-16,5625,3900243762,2020-09-03,
PTX,STOCK,UPCOM,VN000000PTX4,listed,Công ty cổ phần Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh,Petrolimex Nghe Tinh Transportation and Service Joint Stock Company,V.tải Petro N.Tĩnh,Petrolimex Nghe Tinh,2018-07-30,5772,2900428497,,
VHI,STOCK,UPCOM,VN000000VHI8,delisted,Công ty Cổ phần Kinh doanh và Đầu tư Việt Hà,VIETHA INVESTMENT AND TRADING JOINT STOCK COMPANY,K.doanh Đầu tư Việt Hà,,2020-01-08,5850,0100103721,2022-04-01,
MEC,STOCK,UPCOM,VN000000MEC7,listed,Công ty Cổ phần cơ khí - lắp máy Sông Đà,Song Da Mechanical - Asembling Joint Stock Company,Cơ khí - lắp máy Sông Đà,Song Da Mechanical Assembling,2020-06-02,1221,5400240573,,
CTN,STOCK,UPCOM,VN000000CTN3,listed,Công ty Cổ phần Xây dựng Công trình ngầm ,Underground Works Construction Joint Stock Company - VINAVICO,XD Công trình ngầm,Vinavico,2016-05-26,1257,1013777325,,
PGB,STOCK,UPCOM,VN000000PGB7,listed,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN THỊNH VƯỢNG VÀ PHÁT TRIỂN,PROSPERITY AND GROWTH COMMERCIAL JOINT STOCK BANK,PGBANK,PGBANK,2020-12-24,2296,1400116233,,
GTH,STOCK,UPCOM,VN000000GTH6,delisted,Công ty Cổ phần Xây dựng - Giao thông Thừa Thiên Huế,Thua Thien Hue Construction Transportation Joint Stock Company,XD - G.thông Huế,HCTC,2009-10-28,2559,3300101011,2023-04-05,
VNX,STOCK,UPCOM,VN000000VNX5,listed,Công ty Cổ phần Quảng cáo và Hội chợ thương mại,Vietnam National Trade Fair & Advertising Company,QC & Hội chợ T.mại,VINEXAD,2010-06-10,2597,0100108007,,
TIE,STOCK,UPCOM,VN000000TIE9,listed,Công ty Cổ phần TIE,Telecommunications Industry Electronics Joint Stock Company,CTCP TIE,TIE electronics,2019-08-09,2611,0301173454,,
L44,STOCK,UPCOM,VN000000L441,listed,Công ty Cổ phần Lilama 45.4,Lilama 45.4 Joint Stock Company,CTCP Lilama 45.4,LILAMA 45.4,2018-06-08,2628,3600255703,,
TTG,STOCK,UPCOM,VN000000TTG1,listed,Công ty Cổ phần May Thanh Trì ,Thanh Tri Garment Joint Stock Company,May Thanh Trì,Thanh Tri Garment,2010-02-02,2691,0102737811,,
CTA,STOCK,UPCOM,VN000000CTA0,listed,Công ty Cổ phần Vinavico ,Vinavico Joint Stock Company,CTCP Vinavico,Vinavico,2019-12-20,3014,0101910492,,
HVC,STOCK,UPCOM,,delisted,Công ty Cổ phần Hưng Vượng ,Prosper Joint Stock Company,,,2010-10-27,3040,3700560531,2012-05-30,
BDC,STOCK,UPCOM,VN000000BDC2,delisted,Tổng Công ty Xây dựng Bạch Đằng - CTCP,Bach Dang Construction Corporation - JSC,Xây dựng Bạch Đằng,,2018-09-13,3108,0200157840,2020-11-27,
T12,STOCK,UPCOM,VN000000T121,delisted,Công ty Cổ phần Thương mại Dịch vụ Tràng Thi,Trang Thi Commercial and Services Joint Stock Company,T.mại DV Tràng Thi,,2017-11-06,5318,0100107437,2022-04-01,
BLT,STOCK,UPCOM,VN000000BLT9,listed,Công ty Cổ phần Lương thực Bình Định,Binh Dinh Food Joint stock company,L.thực Bình Định,Binh Dinh Food,2017-07-10,5320,4100259042,,
