code,type,floor,isin,status,companyName,companyNameEng,shortName,shortNameEng,listedDate,companyId,taxCode,delistedDate,indexCode
GB05F2103,DERIVATIVE,HNX,VNGB05F21037,delisted,Hợp đồng tương lai TPCP kỳ hạn 05 năm tháng 03/2021,,,,2020-06-16,234,,2021-03-15,
GB05F2106,DERIVATIVE,HNX,VNGB05F21060,delisted,Hợp đồng tương lai TPCP kỳ hạn 05 năm tháng 06/2021,,,,2020-09-16,290,,2021-06-15,
VN30F2106,DERIVATIVE,HNX,VNVN30F21062,delisted,Hợp đồng tương lai chỉ số VN30 tháng 06/2021,,,,2020-10-16,309,,2021-06-17,
GB05F2112,DERIVATIVE,HNX,VNGB05F21128,delisted,Hợp đồng tương lai TPCP kỳ hạn 05 năm tháng 12/2021,,,,2021-03-16,443,,2021-12-15,
VN30F2107,DERIVATIVE,HNX,VNVN30F21070,delisted,Hợp đồng tương lai chỉ số VN30 tháng 07/2021,,,,2021-05-21,468,,2021-07-15,
GB05F2109,DERIVATIVE,HNX,VNGB05F21094,delisted,Hợp đồng tương lai TPCP kỳ hạn 05 năm tháng 09/2021,,,,2020-12-16,374,,2021-09-15,
GB10F2203,DERIVATIVE,HNX,VNGB10F22035,delisted,Hợp đồng tương lai TPCP kỳ hạn 10 năm tháng 03/2022,,,,2021-06-28,473,,2022-03-25,
VN30F2105,DERIVATIVE,HNX,VNVN30F21054,delisted,Hợp đồng tương lai chỉ số VN30 tháng 05/2021,,,,2021-03-19,444,,2021-05-20,
CMC,STOCK,HNX,VN000000CMC1,listed,Công ty Cổ phần Đầu tư CMC ,Cmc Investment Joint Stock Company,CTCP Đầu tư CMC,CMC Investment,2006-12-11,1256,0100104309,,
S64,STOCK,HNX,,delisted,Công ty Cổ phần Sông Đà 6.04,Song da 6.04 joint stock company,,,2006-12-25,1269,0101541220,2012-07-12,
SDN,STOCK,HNX,VN000000SDN3,listed,Công ty Cổ phần Sơn Đồng Nai,DongNai Paint Corporation,CTCP Sơn Đồng Nai,Dong Nai Paint Corp.,2009-06-17,1350,3600451024,,
MAS,STOCK,HNX,VN000000MAS1,listed,Công ty Cổ phần Dịch vụ hàng không sân bay Đà Nẵng ,Danang Airport Services Joint Stock Company,DV sân bay Đà Nẵng,Danang Airport Services,2014-07-15,1468,0400102045,,
VN30F2309,DERIVATIVE,HNX,VNVN30F23092,delisted,Hợp đồng tương lai chỉ số VN30 tháng 09/2023,,,,2023-01-27,923,,2023-09-21,
VN30F2307,DERIVATIVE,HNX,VNVN30F23076,delisted,Hợp đồng tương lai chỉ số VN30 tháng 07/2023,,,,2023-05-19,953,,2023-07-20,
MDC,STOCK,HNX,VN000000MDC9,listed,Công ty Cổ phần Than Mông Dương - Vinacomin,Vinacomin – Mong Duong Coal Joint Stock Company,Than Mông Dương,Mong Duong Coal,2009-07-23,2119,5700101203,,
TAS,STOCK,HNX,,delisted,Công ty Cổ phần Chứng khoán Tràng An,Trang An Securities Joint Stock Company,,,2010-02-22,2160,0102119692,2013-09-20,
HBE,STOCK,HNX,VN000000HBE9,delisted,Công ty Cổ phần Sách-Thiết bị trường học Hà Tĩnh ,Ha Tinh Book And Equiptment Education Joint Stock COmpany,T.bị trg học H.Tĩnh,Ha Tinh Book,2008-02-22,2264,3000106354,2021-08-09,
BAB,STOCK,HNX,VN000000BAB0,listed,Ngân hàng Thương mại cổ phần Bắc Á,Bac A Commercial Joint Stock Bank,Ngân hàng Bắc Á,Bac A Commercial Bank,2021-03-03,2291,2900325526,,
LPB122011,BOND,HNX,VNLPB1220117,listed,Ngân hàng Thương mại Cổ phần Bưu điện Liên Việt,Lien Viet Post Joint Stock Commercial Bank,LienVietPostBank,LienViet Post Bank,2022-06-01,3591,6300048638,,
BAB122031,BOND,HNX,VNBAB1220318,listed,Ngân hàng Thương mại cổ phần Bắc Á,Bac A Commercial Joint Stock Bank,Ngân hàng Bắc Á,Bac A Commercial Bank,2023-06-02,2291,2900325526,,
BAB123031,BOND,HNX,VNBAB1230317,delisted,Ngân hàng Thương mại cổ phần Bắc Á,Bac A Commercial Joint Stock Bank,Ngân hàng Bắc Á,Bac A Commercial Bank,2024-01-12,2291,2900325526,2024-03-04,
DHP,STOCK,HNX,VN000000DHP1,listed,Công ty Cổ phần Điện Cơ Hải Phòng,Hai Phong Electrical Mechanical Joint Stock Company,Điện Cơ Hải Phòng,Hai Phong Elec-Mechan,2013-03-21,3673,0200580118,,
VGS,STOCK,HNX,VN000000VGS9,listed,Công ty Cổ phần Ống thép Việt Đức VG PIPE,Vietnam Germany Steel Pipe Joint Stock Company,Ống thép Việt Đức,Vietnam Germany Steel Pipe,2008-12-04,2402,2500267703,,
TMX,STOCK,HNX,VN000000TMX1,listed,Công ty Cổ phần Vicem Thương mại xi măng ,VICEM Cement Trading Joint Stock Company,Vicem T.mại X.măng,Cement trading,2009-11-02,2557,0100105694,,
VIG,STOCK,HNX,VN000000VIG0,listed,Công ty Cổ phần Chứng khoán Thương mại và Công nghiệp Việt Nam (VICS) ,Vietnam Industrial And Commercial Securities Corporation,Chứng khoán VICS,VN I&C Securities,2009-12-01,2601,0102614143,,
TIG,STOCK,HNX,VN000000TIG4,listed,Công ty Cổ phần Tập đoàn Đầu tư Thăng long,Thang Long Investment Group Joint Stock Company,Đầu tư Thăng Long,ThangLong Investment Group,2010-10-08,2602,0101164614,,HNX30
V21,STOCK,HNX,VN000000V218,listed,Công ty cổ phần vinaconex21,Vinaconex 21 Joint Stock Company,CTCP Vinaconex 21,Vinaconex 21,2010-04-21,2763,0500236902,,
AME,STOCK,HNX,VN000000AME1,listed,Công ty Cổ phần Alphanam E&C,Alphanam E&C Joint Stock Company,Alphanam E&C,ALPHANAM E&amp;C,2010-06-02,2796,0100520683,,
NDN,STOCK,HNX,VN000000NDN4,listed,Công ty Cổ phần Đầu tư Phát triển Nhà Đà Nẵng,Danang Housing Investment Development Joint Stock Company,ĐTPT Nhà Đà Nẵng,Danang Housing Investment,2011-04-21,2928,0400101323,,
PTD,STOCK,HNX,VN000000PTD6,listed,Công ty Cổ phần Thiết kế - Xây dựng - Thương mại Phúc Thịnh,Phuc Thinh Design Construction Trading Corporation,T.mại Phúc Thịnh,Phuc Thinh Design,2015-11-10,3084,0302365984,,
MED,STOCK,HNX,VN000000MED5,listed,CÔNG TY CỔ PHẦN DƯỢC TRUNG ƯƠNG MEDIPLANTEX,MEDIPLANTEX NATIONAL PHARMACEUTICAL JOINT STOCK COMPANY,Dược TW MEDIPLANTEX,Mediplantex Phama,2020-03-18,3470,0100108430,,
SMC12101,BOND,HNX,VN0SMC121017,listed,Công ty Cổ phần đầu tư thương mại SMC ,SMC  Trading- Investment Joint Stock Company,Đ.tư T.mại SMC,SMC,2023-09-08,307,0303522206,,
BBS,STOCK,HNX,VN000000BBS2,listed,Công ty Cổ phần VICEM Bao bì Bút Sơn,VICEM But Son Packing Joint - Stock Company,Bao bì Bút Sơn,But Son Cement Packing,2005-12-28,431,0600312071,,
NDX,STOCK,HNX,VN000000NDX3,listed,Công ty Cổ phần Xây lắp Phát triển Nhà Đà Nẵng,Danang Housing Development joint stock company,X.lắp Nhà Đà Nẵng,Danang Housing Development,2013-07-17,3722,0400620833,,
CTB,STOCK,HNX,VN000000CTB8,listed,Công ty Cổ phần Chế tạo Bơm Hải Dương ,Hai Duong Pump Manufacturing Joint Stock Company,Bơm Hải Dương,Hai Duong Pump Manufacturer,2006-10-10,920,0800287016,,
KSD,STOCK,HNX,VN000000KSD9,listed,Công ty cổ phần Đầu tư DNA,DNA Investment Joint Stock Corporation,Xuất khẩu Hamico,DNA Investement,2010-04-28,2773,0700212810,,
MAX,STOCK,HNX,,delisted,Công ty Cổ phần Khai khoáng và Cơ khí Hữu nghị Vĩnh Sinh ,Huu Nghi Vinh Sinh Mining and Mechanic Joint Stock Company,,Huu Nghi Vinh Sinh,2011-06-22,2982,2600632004,2015-06-26,
HAT,STOCK,HNX,VN000000HAT9,listed,Công ty Cổ phần Thương mại Bia Hà Nội ,Ha Noi Beer Trading Joint Stock Company,Thương mại Bia HN,Hanoi Beer Trading,2010-10-29,2986,0102111943,,
MNC,STOCK,HNX,VN000000MNC8,delisted,Công ty Cổ phần Mai Linh miền Trung,MaiLinh Corporation In Northern Central,Mai Linh miền Trung,,2010-12-16,3062,0400382219,2018-06-28,
GFC,STOCK,HNX,,delisted,Công ty Cổ phần Thủy sản Gentraco,Gentraco Feed Joint Stock Company,,,2011-04-21,3173,1800241743,2013-07-18,
PDB,STOCK,HNX,VN000000PDB4,listed,Công ty cố phần tập đoàn đầu tư DIN Capital,DIN capital investment group joint stock company,Đầu tư Din Capital,DIN Capital,2015-08-03,3941,0401333013,,
RHC,STOCK,HNX,,delisted,Công ty Cổ phần Thủy điện Ry Ninh II,Ry Ninh II Hydroelectric Joint Stock Company,,,2009-06-30,206,6101220274,2013-12-10,
SDG,STOCK,HNX,VN000000SDG7,listed,Công ty Cổ phần SADICO Cần Thơ,Can Tho Sadico Joint Stock Corporation,SADICO Cần Thơ,Can Tho Sadico,2009-12-22,317,0180055452,,
HOM,STOCK,HNX,VN000000HOM5,listed,Công ty Cổ phần Xi măng Vicem Hoàng Mai,Vicem Hoang Mai Cement Joint Stock Company,Xi măng Hoàng Mai,VICEM Hoang Mai cement,2009-07-09,441,2901860050,,
NTP,STOCK,HNX,VN000000NTP5,listed,Công ty Cổ phần Nhựa Thiếu niên Tiền Phong ,Tien Phong Plastics Joint Stock Company,Nhựa Tiền Phong,Tien Phong Plastics,2006-12-11,470,0200167782,,HNX30
MSC,STOCK,HNX,VN000000MSC7,delisted,Công ty Cổ phần Dịch vụ Phú Nhuận,PhuNhuan Service Joint Stock Company,Dịch vụ Phú Nhuận,,2017-02-08,824,0302416364,2020-08-07,
ALT,STOCK,HNX,VN000000ALT1,listed,Công ty Cổ phần văn hoá Tân Bình ,Alta Company,Văn hoá Tân Bình,Tan Binh Culture,2009-07-27,960,0301420079,,
GDW,STOCK,HNX,VN000000GDW9,listed,Công ty Cổ phần Cấp nước Gia Định,Gia Dinh Water Supply Joint Stock Company,Cấp nc Gia Định,Gia Dinh Wasuco,2018-12-18,1028,0304806225,,
VN30F2202,DERIVATIVE,HNX,VNVN30F22029,delisted,Hợp đồng tương lai chỉ số VN30 tháng 02/2022,,,,2021-12-17,611,,2022-02-17,
VN30F2204,DERIVATIVE,HNX,VNVN30F22045,delisted,Hợp đồng tương lai chỉ số VN30 tháng 04/2022,,,,2022-02-18,644,,2022-04-21,
PSI,STOCK,HNX,VN000000PSI7,listed,Công ty Cổ phần Chứng khoán Dầu khí,Petrovietnam Securities Incorporated,CK Dầu khí,Petrovietnam Securities,2010-07-21,2082,0102095561,,
VN30F2205,DERIVATIVE,HNX,VNVN30F22052,delisted,Hợp đồng tương lai chỉ số VN30 tháng 05/2022,,,,2022-03-18,668,,2022-05-19,
CLH,STOCK,HNX,VN000000CLH2,listed,Công ty Cổ phần xi măng La Hiên - VVMI,La Hien Cement Joint Stock Company,Xi măng La Hiên,La Hien Cement,2016-06-07,2123,4600422240,,
GB05F2212,DERIVATIVE,HNX,VNGB05F22126,delisted,Hợp đồng tương lai TPCP kỳ hạn 05 năm tháng 12/2022,,,,2022-03-16,655,,2022-12-15,
APS,STOCK,HNX,VN000000APS4,listed,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,Asia - Pacific Securities Joint Stock Company,Chứng khoán APEC,Asia - Pacific Securities,2010-04-19,2318,0102121412,,
ONE,STOCK,HNX,VN000000ONE0,listed,Công ty Cổ phần Công nghệ ONE,One Technology Corporation,Công nghệ ONE,ONE Corp,2008-06-25,2347,0100233174,,
KKC,STOCK,HNX,VN000000KKC8,listed,Công ty Cổ phần Tập đoàn Thành Thái,KKC Metal Joint Stock Company,CTCP Kim khí KKC,TTGroup JSC,2008-08-21,2378,0200412681,,
VN30F2209,DERIVATIVE,HNX,VNVN30F22094,delisted,Hợp đồng tương lai chỉ số VN30 tháng 09/2022,,,,2022-01-21,643,,2022-09-15,
AGC,STOCK,HNX,,delisted,Công ty Cổ phần Cà phê An Giang,An Giang Coffee Joint Stock Company,,,2009-01-05,2410,3600708142,2012-07-16,
VN30F2302,DERIVATIVE,HNX,VNVN30F23027,delisted,Hợp đồng tương lai chỉ số VN30 tháng 02/2023,,,,2022-12-16,899,,2023-02-16,
